"","date","site_id","daily_max_8_hour_ozone_concentration","state","county","site_longitude","site_latitude","concurred"
"1",2016-04-01,"245100054",0.047,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"2",2016-04-02,"245100054",0.043,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"3",2016-04-03,"245100054",0.046,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"4",2016-04-04,"245100054",0.042,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"5",2016-04-05,"245100054",0.043,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"6",2016-04-06,"245100054",0.049,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"7",2016-04-07,"245100054",0.037,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"8",2016-04-08,"245100054",0.046,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"9",2016-04-09,"245100054",0.041,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"10",2016-04-10,"245100054",0.045,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"11",2016-04-11,"245100054",0.047,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"12",2016-04-12,"245100054",0.048,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"13",2016-04-13,"245100054",0.044,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"14",2016-04-14,"245100054",0.053,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"15",2016-04-15,"245100054",0.056,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"16",2016-04-16,"245100054",0.053,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"17",2016-04-17,"245100054",0.058,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"18",2016-04-18,"245100054",0.064,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"19",2016-04-19,"245100054",0.068,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"20",2016-04-20,"245100054",0.055,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"21",2016-04-21,"245100054",0.054,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"22",2016-04-22,"245100054",0.05,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"23",2016-04-23,"245100054",0.048,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"24",2016-04-24,"245100054",0.052,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"25",2016-04-25,"245100054",0.053,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"26",2016-04-26,"245100054",0.06,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"27",2016-04-27,"245100054",0.033,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"28",2016-04-28,"245100054",0.042,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"29",2016-04-29,"245100054",0.038,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"30",2016-04-30,"245100054",0.043,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"31",2016-05-01,"245100054",0.036,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"32",2016-05-04,"245100054",0.026,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"33",2016-05-05,"245100054",0.024,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"34",2016-05-06,"245100054",0.02,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"35",2016-05-07,"245100054",0.03,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"36",2016-05-08,"245100054",0.044,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"37",2016-05-09,"245100054",0.041,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"38",2016-05-10,"245100054",0.031,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"39",2016-05-11,"245100054",0.026,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"40",2016-05-12,"245100054",0.039,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"41",2016-05-13,"245100054",0.045,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"42",2016-05-14,"245100054",0.047,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"43",2016-05-15,"245100054",0.046,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"44",2016-05-16,"245100054",0.046,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"45",2016-05-17,"245100054",0.038,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"46",2016-05-18,"245100054",0.04,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"47",2016-05-19,"245100054",0.053,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"48",2016-05-20,"245100054",0.052,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"49",2016-05-21,"245100054",0.041,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"50",2016-05-22,"245100054",0.036,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"51",2016-05-23,"245100054",0.039,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"52",2016-05-24,"245100054",0.058,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"53",2016-05-25,"245100054",0.075,"Maryland","Baltimore (City)",-76.553075,39.328807,"Y"
"54",2016-05-26,"245100054",0.078,"Maryland","Baltimore (City)",-76.553075,39.328807,"Y"
"55",2016-05-27,"245100054",0.064,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"56",2016-05-28,"245100054",0.061,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"57",2016-05-29,"245100054",0.036,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"58",2016-05-30,"245100054",0.05,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"59",2016-05-31,"245100054",0.06,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"60",2016-06-01,"245100054",0.067,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"61",2016-06-02,"245100054",0.032,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"62",2016-06-03,"245100054",0.025,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"63",2016-06-04,"245100054",0.041,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"64",2016-06-05,"245100054",0.036,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"65",2016-06-06,"245100054",0.053,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"66",2016-06-07,"245100054",0.059,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"67",2016-06-08,"245100054",0.043,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"68",2016-06-09,"245100054",0.056,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"69",2016-06-10,"245100054",0.051,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"70",2016-06-11,"245100054",0.065,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"71",2016-06-12,"245100054",0.059,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"72",2016-06-13,"245100054",0.043,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"73",2016-06-14,"245100054",0.058,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"74",2016-06-15,"245100054",0.057,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"75",2016-06-16,"245100054",0.04,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"76",2016-06-17,"245100054",0.052,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"77",2016-06-18,"245100054",0.056,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"78",2016-06-19,"245100054",0.053,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"79",2016-06-20,"245100054",0.064,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"80",2016-06-21,"245100054",0.05,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"81",2016-06-22,"245100054",0.056,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"82",2016-06-23,"245100054",0.05,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"83",2016-06-24,"245100054",0.055,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"84",2016-06-25,"245100054",0.057,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"85",2016-06-26,"245100054",0.057,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"86",2016-06-27,"245100054",0.051,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"87",2016-06-28,"245100054",0.046,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"88",2016-06-29,"245100054",0.041,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"89",2016-06-30,"245100054",0.057,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"90",2016-07-01,"245100054",0.056,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"91",2016-07-02,"245100054",0.037,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"92",2016-07-03,"245100054",0.04,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"93",2016-07-04,"245100054",0.037,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"94",2016-07-05,"245100054",0.038,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"95",2016-07-06,"245100054",0.067,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"96",2016-07-07,"245100054",0.055,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"97",2016-07-08,"245100054",0.055,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"98",2016-07-09,"245100054",0.057,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"99",2016-07-10,"245100054",0.039,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"100",2016-07-11,"245100054",0.058,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"101",2016-07-12,"245100054",0.055,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"102",2016-07-13,"245100054",0.038,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"103",2016-07-14,"245100054",0.049,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"104",2016-07-15,"245100054",0.05,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"105",2016-07-16,"245100054",0.066,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"106",2016-07-17,"245100054",0.054,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"107",2016-07-18,"245100054",0.052,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"108",2016-07-19,"245100054",0.066,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"109",2016-07-20,"245100054",0.067,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"110",2016-07-21,"245100054",0.074,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"111",2016-07-22,"245100054",0.065,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"112",2016-07-23,"245100054",0.06,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"113",2016-07-24,"245100054",0.06,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"114",2016-07-25,"245100054",0.063,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"115",2016-07-26,"245100054",0.064,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"116",2016-07-27,"245100054",0.088,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"117",2016-07-28,"245100054",0.051,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"118",2016-07-29,"245100054",0.066,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"119",2016-07-30,"245100054",0.053,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"120",2016-08-02,"245100054",0.055,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"121",2016-08-03,"245100054",0.048,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"122",2016-08-04,"245100054",0.034,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"123",2016-08-05,"245100054",0.039,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"124",2016-08-06,"245100054",0.046,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"125",2016-08-07,"245100054",0.039,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"126",2016-08-08,"245100054",0.048,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
